identifier	name	participants	participatingComplex	pubMedIdentifiers
R-HSA-4419833	"CTDNEP1:CNEP1R1 [nuclear envelope]"	uniprot:Q8N9A8|uniprot:O95476	-	22134922
R-HSA-4419896	"NEDD8-AcM-UBE2M [cytosol]"	uniprot:Q15843|uniprot:P61081	-	14690597|10207026|15361859|17220875|15694336
R-HSA-4419904	"Neddylated TGFBR2 [plasma membrane]"	uniprot:Q15843|uniprot:P37173	-	23290524
R-HSA-4420096	"p-6Y-VEGFR2 dimer [plasma membrane]"	uniprot:P35968	-	-
R-HSA-4420101	"VEGFA dimer:p-6Y-VEGFR2 dimer [plasma membrane]"	uniprot:P35968|uniprot:P15692-4	R-HSA-4420096|R-HSA-4420158	10037737|15644447|10327068|9398617|17293873|11600407|15962004|11387210|7999104|8903320
R-HSA-4420110	"VEGFA dimer:p-6Y-VEGFR2 dimer:p-4Y-PLCG1 [plasma membrane]"	uniprot:P35968|uniprot:P15692-4|uniprot:P19174	R-HSA-4420101|R-HSA-4420096|R-HSA-4420158	15879121|20807769|11600407
R-HSA-4420137	"VEGFA dimer:p-6Y-VEGFR2 dimer:SH2D2A [plasma membrane]"	uniprot:P35968|uniprot:P15692-4|uniprot:Q9NP31	R-HSA-4420101|R-HSA-4420096|R-HSA-4420158	15962004|10692392|22689825
R-HSA-4420141	"VEGFA:p-6Y-VEGFR2:p-SHB:PTK2 [plasma membrane]"	uniprot:Q05397|uniprot:Q15464|uniprot:P35968|uniprot:P15692-4	R-HSA-4420164|R-HSA-4420101|R-HSA-4420096|R-HSA-4420158	15026417|12595334|22264731|9182576
R-HSA-4420158	"VEGFA-165 dimer [extracellular region]"	uniprot:P15692-4	-	-
R-HSA-4420164	"VEGFA dimer:p-6Y-VEGFR2 dimer:p-S-SHB [plasma membrane]"	uniprot:Q15464|uniprot:P35968|uniprot:P15692-4	R-HSA-4420101|R-HSA-4420096|R-HSA-4420158	15026417|12464388
R-HSA-4420169	"VEGFA dimer:p-6Y-VEGFR2 dimer:SH2D2A:SRC-1 [plasma membrane]"	uniprot:P35968|uniprot:P15692-4|uniprot:Q9NP31|uniprot:P12931-1	R-HSA-4420137|R-HSA-4420101|R-HSA-4420096|R-HSA-4420158	15962004|22689825
R-HSA-4420171	"VEGFA:p-6Y-VEGFR2:SHC2 [plasma membrane]"	uniprot:P35968|uniprot:P15692-4|uniprot:P98077	R-HSA-4420101|R-HSA-4420096|R-HSA-4420158	10749680|12214271
R-HSA-4420196	"VEGFA dimer:p-6Y-VEGFR2 dimer:SHB [plasma membrane]"	uniprot:Q15464|uniprot:P35968|uniprot:P15692-4	R-HSA-4420101|R-HSA-4420096|R-HSA-4420158	22562363|15026417|19223532
R-HSA-4420203	"VEGFA dimer:p-6Y-VEGFR2 dimer:PLCG1 [plasma membrane]"	uniprot:P19174|uniprot:P35968|uniprot:P15692-4	R-HSA-4420101|R-HSA-4420096|R-HSA-4420158	16713597|9096335|11600407|11387210|11744703
R-HSA-442278	"VAV2 Rho/Rac effectors:GDP [cytosol]"	uniprot:P60953|uniprot:P63000|uniprot:P61586|uniprot:P62745|uniprot:P84095|chebi:17552	-	-
R-HSA-442290	"VAV2 Rho/Rac effectors:GTP [cytosol]"	uniprot:P60953|uniprot:P63000|uniprot:P61586|uniprot:P62745|uniprot:P84095|chebi:15996	-	8990121|18589439|15886116|9032261
R-HSA-442313	"VAV3 Rho/Rac effectors:GDP [cytosol]"	uniprot:P61586|uniprot:P63000|uniprot:P84095|chebi:17552	-	-
R-HSA-442315	"VAV3 Rho/Rac effectors:GTP [cytosol]"	uniprot:P61586|uniprot:P63000|uniprot:P84095|chebi:15996	-	8990121|18589439|15886116|9032261
R-HSA-442565	"WAVE2, WASP, N-WASP:ARP2/3 complex:G-actin [cytosol]"	uniprot:P63261|uniprot:P60709|chebi:30616|uniprot:Q92747|uniprot:O15511|uniprot:O15144|uniprot:P61160|uniprot:P61158|uniprot:O15143|uniprot:P59998|uniprot:O15145|chebi:18348|chebi:15996|uniprot:P60953|uniprot:P42768|uniprot:O00401|uniprot:P16333|uniprot:Q9NZQ3|uniprot:P62993-1|uniprot:O43516|uniprot:Q8TF74|uniprot:A6NGB9|uniprot:Q9Y2A7|uniprot:Q9NYB9|uniprot:Q8IZP0|uniprot:Q92558|uniprot:Q9UPY6|uniprot:Q9Y6W5|uniprot:Q8WUW1|uniprot:Q96F07|uniprot:Q7L576|uniprot:P55160|uniprot:P63000|uniprot:Q9UQB8|chebi:16618	R-HSA-201857|R-HSA-1861670|R-HSA-201855|R-HSA-201854	17183359|11329366|11747816
R-HSA-442584	"CDC42:GTP:WASP/N-WASP [plasma membrane]"	chebi:18348|uniprot:O00401|uniprot:P42768|chebi:15996|uniprot:P60953	R-HSA-182921	15452139|10219243|10724160|10995437|19741094|9883880
R-HSA-442641	"RAC1:GTP [plasma membrane]"	chebi:15996|uniprot:P63000	-	11775025|20368433|24518591|17607942|20496116|10818153|16546099|9438848|15809313|11094073|9799234|15572663|10744696|14988728|16599904|18614017|8990121|23064382|17440041|11950933|23216836|11525641|17308335|12973357|15169870|27605705|15597056|16286926|12122063|12134158|15721239|18591655
R-HSA-442734	"RASGRF1:RASGRF2 heterooligomer [plasma membrane]"	uniprot:Q13972|uniprot:O14827	-	10373510
R-HSA-442735	"Gly,D-Ser:L-Glu:GRIN1:GRIN2B NMDA receptor:RASGRF1 oligomer:CALM1:4xCa2+ [plasma membrane]"	uniprot:Q13972|uniprot:O14827|uniprot:P0DP23|chebi:29108|uniprot:Q96NW7|uniprot:Q13555|uniprot:Q13557|uniprot:Q13554|uniprot:Q9UQM7|uniprot:P35609|uniprot:P07196|uniprot:P78352|uniprot:Q13224|uniprot:Q05586|uniprot:O15399|uniprot:Q12959|uniprot:Q15700|uniprot:Q92796|chebi:16523|chebi:57305|chebi:29985	R-HSA-74294|R-HSA-9617306|R-HSA-9617305|R-HSA-9611355|R-HSA-9617309|R-HSA-9610932|R-HSA-9617308|R-HSA-9617304	10373510|14622581
R-HSA-443399	"GPIb-IX-V:vWF:14-3-3-zeta:p85 [plasma membrane]"	uniprot:P27986|uniprot:P63104|uniprot:P04275|uniprot:P08123|uniprot:P02452|uniprot:P14770|uniprot:P07359|uniprot:P13224|uniprot:P40197	R-HSA-429544|R-HSA-206751|R-HSA-435464|R-HSA-114596|R-HSA-114668|R-HSA-114667	10887121|16102041
R-HSA-443443	"Active c-Src:Raf1 [cytosol]"	uniprot:P04049|uniprot:P12931-1	-	9171352|18494562|7517401|7692235
R-HSA-443632	"SCNAs:SCNBs [plasma membrane]"	uniprot:O60939|uniprot:Q9NY72|uniprot:Q8IWT1|uniprot:Q07699|uniprot:Q9UI33|uniprot:Q01118|uniprot:Q9UQD0|uniprot:P35498|uniprot:P35499|uniprot:Q99250|uniprot:Q15858|uniprot:Q9NY46|uniprot:Q9Y5Y9|uniprot:Q14524	-	12620097
R-HSA-443641	"L1:HNK-1 [plasma membrane]"	uniprot:P32004|chebi:53170	-	-
R-HSA-443643	"L1:FGFR1 [plasma membrane]"	uniprot:P32004|uniprot:P11362-1	R-HSA-446623	18222703
R-HSA-443646	"L1:Neurocan [plasma membrane]"	uniprot:O14594|uniprot:P32004	-	10934197
R-HSA-443648	"L1:HSA [plasma membrane]"	uniprot:P25063|uniprot:P32004	-	-
R-HSA-443650	"NFASC:NRCAM:ANK1-3:SPTA:SPTB:F-actin [plasma membrane]"	uniprot:Q12955|uniprot:Q01484|uniprot:P16157|uniprot:O94856|uniprot:Q92823|uniprot:P63261|uniprot:P60709|chebi:30616|uniprot:Q01082|uniprot:O15020|uniprot:P11277|uniprot:Q9NRC6|uniprot:Q9H254|uniprot:Q13813|uniprot:P02549	R-HSA-373686|R-HSA-392744|R-HSA-391839	-
R-HSA-443653	"L1:CNTN1 [plasma membrane]"	uniprot:Q12860|uniprot:P32004	-	7682821
R-HSA-443654	"L1 dimer:Ankyrin:Spectrin:F-actin [plasma membrane]"	uniprot:Q12955|uniprot:Q01484|uniprot:P16157|uniprot:P32004|uniprot:P63261|uniprot:P60709|chebi:30616|uniprot:Q01082|uniprot:O15020|uniprot:P11277|uniprot:Q9NRC6|uniprot:Q9H254|uniprot:Q13813|uniprot:P02549	R-HSA-374569|R-HSA-446623|R-HSA-392744|R-HSA-391839	11222639|16904324|17223356
R-HSA-443655	"pL1:ERM:F-actin [plasma membrane]"	uniprot:P63261|uniprot:P60709|chebi:30616|chebi:18348|uniprot:P26038|uniprot:P35241|uniprot:P15311|uniprot:P32004	R-HSA-191438|R-HSA-374575|R-HSA-443660	18478542|14709786|12154370
R-HSA-443657	"L1:NUMB:CRMP-2:alpha-adaptin [clathrin-coated endocytic vesicle]"	uniprot:O95782|uniprot:O94973|uniprot:Q16555|uniprot:P49757|uniprot:P32004	R-HSA-443669	12942088
R-HSA-443658	"L1:ALCAM [plasma membrane]"	uniprot:Q13740|uniprot:P32004	-	8636239|20016077
R-HSA-443660	"ERM:PIP2 [plasma membrane]"	chebi:18348|uniprot:P26038|uniprot:P35241|uniprot:P15311	-	12082080
R-HSA-443664	"pNFASC:Doublecortin [plasma membrane]"	uniprot:O94856|uniprot:O43602	R-HSA-445011	12223548
R-HSA-443666	"L1:Laminin [plasma membrane]"	uniprot:P25391|uniprot:P07942|uniprot:P11047|uniprot:P32004|chebi:53170	R-HSA-215989|R-HSA-443641	9003039
R-HSA-443668	"pL1:Shootin-1:F-actin [plasma membrane]"	uniprot:P63261|uniprot:P60709|chebi:30616|uniprot:A0MZ66|uniprot:P32004	-	-
R-HSA-443669	"CRMP-2:NUMB:alpha adaptin [plasma membrane]"	uniprot:O95782|uniprot:O94973|uniprot:Q16555|uniprot:P49757	-	-
R-HSA-443670	"CHL1:CNTN6 [plasma membrane]"	uniprot:O00533|uniprot:Q9UQ52	-	18760361
R-HSA-443672	"Trans neurofascin dimer:ankyrin-G [plasma membrane]"	uniprot:O94856|uniprot:P16157	R-HSA-373676	9371782|9804856
R-HSA-443816	"p-Y-L1:EPHB2 [plasma membrane]"	uniprot:P32004|uniprot:P29323	-	9089215|18171935
R-HSA-443827	"14-3-3-zeta:Raf1 [cytosol]"	uniprot:P04049|uniprot:P63104	R-HSA-206751	7760835|7935795
R-HSA-443900	"Integrin alpha IIb beta 3:p-Y530-SRC:CSK:Talin:RIAM complex:p-Y427-SHC [plasma membrane]"	chebi:18348|uniprot:Q7Z5R6|uniprot:P62834|uniprot:P61224|chebi:15996|uniprot:Q9Y490|uniprot:P05106|uniprot:P08514|uniprot:P41240|uniprot:P12931|uniprot:P29353	R-HSA-354130|R-HSA-354176|R-HSA-354110|R-HSA-354126|R-HSA-377608|R-HSA-114514|R-HSA-377606	10964917|8755247
R-HSA-443940	"TPO:Thrombopoietin receptor [plasma membrane]"	uniprot:P40238|uniprot:P40225	-	15518238|16673285|7492761|8073287
R-HSA-443970	"CCR11:CCL19,21,25 [plasma membrane]"	uniprot:Q9NPB9|uniprot:Q99731|uniprot:O00585|uniprot:O15444	-	16791897|10706668
R-HSA-443988	"ACKR2:CCBP2 ligands [plasma membrane]"	uniprot:O00590|uniprot:P13501|uniprot:P80098|uniprot:P10147|uniprot:P16619|uniprot:Q92583|uniprot:P51671|uniprot:P13500|uniprot:O00626|uniprot:P13236	-	15067078|23125030|12594248
R-HSA-444048	"FFAR3:FFAR3 ligands [plasma membrane]"	uniprot:O14843|chebi:30751|chebi:31011|chebi:30772|chebi:15366|chebi:30768	-	12496283
R-HSA-444174	"FFAR2:FFAR2 ligands [plasma membrane]"	chebi:30751|chebi:17120|chebi:31011|chebi:30772|chebi:15366|chebi:30768|uniprot:O15552	-	12496283
R-HSA-444197	"MLNR:MLN(24-47) [plasma membrane]"	uniprot:O43193|uniprot:P12872	-	9441746|10381885
R-HSA-444479	"TRH:TRHR [plasma membrane]"	uniprot:P20396|uniprot:P34981	-	8395824
R-HSA-444509	"FPR1:FMLP [plasma membrane]"	chebi:53490|uniprot:P21462	-	17084101|2161213
R-HSA-444551	"CXCR5:CXCL13 [plasma membrane]"	uniprot:O43927|uniprot:P32302	-	9463416
R-HSA-444553	"FPR3:FPR3 ligands [plasma membrane]"	uniprot:Q9NRV9|uniprot:P04083|uniprot:Q8IVG9|uniprot:P25089	-	17084101|12368905|15623572|15153530
R-HSA-444575	"GPR39:Zn2+ [plasma membrane]"	chebi:29105|uniprot:O43194	-	16284174|18588883|15383539|16959833
R-HSA-444587	"SEC61 translocon [endoplasmic reticulum membrane]"	uniprot:P60468|uniprot:P61619|uniprot:Q9H9S3|uniprot:P60059	-	11964406
R-HSA-444589	"TRAP Complex [endoplasmic reticulum membrane]"	uniprot:P43308|uniprot:P51571|uniprot:Q9UNL2|uniprot:P43307	-	11964406|28218252
R-HSA-444601	"CAMK2 heteromer:CALM:4xCa2+ [plasma membrane]"	uniprot:P0DP23|chebi:29108|uniprot:Q13555|uniprot:Q13557|uniprot:Q13554|uniprot:Q9UQM7	R-HSA-74294|R-HSA-432792	-
R-HSA-444621	"TAS1R2:TAS1R3 [plasma membrane]"	uniprot:Q7RTX0|uniprot:Q8TE23	-	-
R-HSA-444633	"TAS1R1:TAS1R3 [plasma membrane]"	uniprot:Q7RTX0|uniprot:Q7RTX1	-	-
R-HSA-444655	"TAS1R1:TAS1R3:L-Glu [plasma membrane]"	chebi:29985|uniprot:Q7RTX0|uniprot:Q7RTX1	R-HSA-444633	11917125|14586025
R-HSA-444662	"TAS1R2:TAS1R3:Sweet taste compounds [plasma membrane]"	chebi:32111|chebi:17992|chebi:2877|chebi:16296|uniprot:Q7RTX0|uniprot:Q8TE23	R-HSA-444621	11917125|14586025
R-HSA-444688	"C3AR1:C3a [plasma membrane]"	uniprot:Q16581|uniprot:P01024	-	8702752|19601884|19477527
R-HSA-444726	"NPSR1:NPS [plasma membrane]"	uniprot:P0C0P6|uniprot:Q6W5P4	-	15312648|15941840|14757815|15947423|17613937
R-HSA-444730	"PROKR1,PROKR2:PROK1,PROK2 [plasma membrane]"	uniprot:Q8TCW9|uniprot:Q8NFJ6|uniprot:Q9HC23|uniprot:P58294	-	12054613|11259612|12427552
R-HSA-444739	"pH sensing receptors:H+ [plasma membrane]"	uniprot:P46093|uniprot:Q8IYL9|uniprot:Q15743|uniprot:Q9UNW8|chebi:15378	-	17118800|15326175|17462861|15280385|12955148
R-HSA-444754	"EGF-7TMs:CHS [plasma membrane]"	uniprot:Q14246|uniprot:Q9BY15|uniprot:P48960|uniprot:Q9UHX3|chebi:37397	-	15498814|12829604|14647991
R-HSA-444796	"CaMKII [nucleoplasm]"	uniprot:Q13557|uniprot:Q13555|uniprot:Q13554|uniprot:Q9UQM7	-	-
R-HSA-444822	"Relaxin-3 [extracellular region]"	uniprot:Q8WXF3	-	-
R-HSA-444839	"RXFP1:Relaxin-2,Relaxin-3 [plasma membrane]"	uniprot:Q9HBX9|uniprot:Q8WXF3|uniprot:P04090	-	17293890|11809971|12506116|20138959
R-HSA-444843	"GPBAR1: Bile acids [plasma membrane]"	uniprot:Q8TDU6|chebi:28834|chebi:16359|chebi:16325|chebi:16755	-	12524422|1591235|10334992
R-HSA-444847	"RXFP3:Relaxin-3 [plasma membrane]"	uniprot:Q8WXF3|uniprot:Q9NSD7	R-HSA-444822	14522968|17293890
R-HSA-444853	"Relaxin-2 [extracellular region]"	uniprot:P04090	-	-
R-HSA-444887	"Insulin-like peptide 3 [extracellular region]"	uniprot:P51460	-	-
R-HSA-444892	"RXFP2:RXFP2 ligands [plasma membrane]"	uniprot:P51460|uniprot:P04090|uniprot:Q8WXD0	-	17293890|12506116|12114498
R-HSA-444898	"Insulin-like peptide 5 [extracellular region]"	uniprot:Q9Y5Q6	-	-
R-HSA-444907	"RXFP4:RXFP4 ligands [plasma membrane]"	uniprot:Q8TDU9|uniprot:Q8WXF3|uniprot:Q9Y5Q6	-	17293890|14522967|15525639
R-HSA-445001	"pPAK1:Rac1-GTP [cytosol]"	chebi:15996|uniprot:P63000|uniprot:Q13153	R-HSA-442641	15597056|9351825
R-HSA-445002	"PAK1 dimer [cytosol]"	uniprot:Q13153	-	-
R-HSA-445005	"pL1 (S1204, 1248):ERK2:clathrin-dynamin complex [endosome]"	uniprot:P32004|uniprot:Q00610|uniprot:P09496|uniprot:O95782|uniprot:O94973|uniprot:Q96CW1|uniprot:P53680|uniprot:P63010|uniprot:Q99962|uniprot:P28482	R-HSA-177505|R-HSA-177482|R-HSA-177480	10608864|17151951|10818153
R-HSA-445006	"NrCAM:Axonin-1 [plasma membrane]"	uniprot:Q02246|uniprot:Q92823	-	-
R-HSA-445008	"pL1 (Y1229):L1CAM [plasma membrane]"	uniprot:P32004	-	16597699
R-HSA-445009	"CHL1:alpha1beta1/alpha2beta1 integrins [plasma membrane]"	uniprot:P17301|uniprot:P05556|uniprot:O75578|uniprot:P56199|uniprot:O00533	-	12721290|15504324
R-HSA-445010	"RAC1:GDP [cytosol]"	uniprot:P63000|chebi:17552	-	21148482
R-HSA-445011	"NFASC:pNFASC [plasma membrane]"	uniprot:O94856	-	-
R-HSA-445013	"KIF4 dimer [cytosol]"	uniprot:Q2VIQ3|uniprot:O95239	-	10804209|10747093
R-HSA-445016	"L1-EGFR trans-heterodimer [plasma membrane]"	uniprot:P32004|uniprot:P00533	-	14718570
R-HSA-445017	"CHL1:NRP1 [plasma membrane]"	uniprot:O14786|uniprot:O00533	-	18077678
R-HSA-445018	"CHL1:HSP7C [plasma membrane]"	uniprot:P11142|uniprot:O00533|chebi:456216	-	17178404
R-HSA-445022	"AP2 clathrin:L1:KIF4:microtubule [cytosol]"	uniprot:Q2VIQ3|uniprot:O95239|uniprot:Q9BUF5|uniprot:Q13885|uniprot:P68371|uniprot:Q9H4B7|uniprot:Q13509|uniprot:Q9BVA1|uniprot:Q3ZCM7|uniprot:P04350|uniprot:A6NNZ2|chebi:17552|uniprot:Q9NY65|uniprot:Q9H853|uniprot:A6NHL2|uniprot:Q6PEY2|uniprot:P68363|uniprot:Q71U36|uniprot:Q9BQE3|uniprot:P0DPH7|uniprot:P0DPH8|uniprot:P68366|chebi:15996|uniprot:Q00610|uniprot:P09496|uniprot:O95782|uniprot:O94973|uniprot:Q96CW1|uniprot:P53680|uniprot:P63010|uniprot:Q99962|uniprot:P32004	R-HSA-445013|R-HSA-190599|R-HSA-392746|R-HSA-177505|R-HSA-177482|R-HSA-177480	-
R-HSA-445119	"UTSR:UTS2,UTS2B [plasma membrane]"	uniprot:Q9UKP6|uniprot:O95399|uniprot:Q765I0	-	10499587|14550283
R-HSA-445147	"PTCH1,PTCH2:SMO [plasma membrane]"	uniprot:Q99835|uniprot:Q9Y6C5|uniprot:Q13635	-	15803137|8906787|10966113|10021362|17094938|15104233
R-HSA-445151	"Patched:Hedgehog [plasma membrane]"	uniprot:O43323|uniprot:Q14623|uniprot:Q15465|uniprot:Q9Y6C5|uniprot:Q13635	-	-
R-HSA-445374	"CaMKII [cytosol]"	uniprot:Q13554|uniprot:Q9UQM7|uniprot:Q13557|uniprot:Q13555	-	-
R-HSA-445447	"Hh-Npp:HHIP [ciliary membrane]"	uniprot:Q14623|uniprot:O43323|uniprot:Q15465|uniprot:Q96QV1	-	18559595|23900540|19561611|15294024|19561609|15019948|12569124|11841368|10050855
R-HSA-445697	"ADP:Calcium Bound Myosin Actin Complex [plasma membrane]"	uniprot:P63267|uniprot:P62736|uniprot:P67936|uniprot:P09493|uniprot:P06753|uniprot:P07951|chebi:29108|uniprot:Q05682|uniprot:P29536|uniprot:P56199|uniprot:P18206|uniprot:Q9BX66|uniprot:O60504|uniprot:Q9Y490|uniprot:P18084|uniprot:P49023|uniprot:P35749|chebi:456216|uniprot:P24844|uniprot:P60660|uniprot:Q02045|uniprot:P14649|uniprot:Q9BUA6|uniprot:P19105|uniprot:Q01449|uniprot:O14950|uniprot:Q96A32	R-HSA-445808|R-HSA-445775|R-HSA-445800	3780718|2526655
R-HSA-445701	"ATP:Calcium Bound Myosin Actin Complex [plasma membrane]"	uniprot:P63267|uniprot:P62736|uniprot:P67936|uniprot:P09493|uniprot:P06753|uniprot:P07951|chebi:29108|uniprot:Q05682|uniprot:P29536|uniprot:P56199|uniprot:P18206|uniprot:Q9BX66|uniprot:O60504|uniprot:Q9Y490|uniprot:P18084|uniprot:P49023|uniprot:P35749|chebi:30616|uniprot:P24844|uniprot:P60660|uniprot:Q02045|uniprot:P14649|uniprot:Q9BUA6|uniprot:P19105|uniprot:Q01449|uniprot:O14950|uniprot:Q96A32	R-HSA-445808|R-HSA-445775|R-HSA-445789	3780718|2526655|2764880
R-HSA-445702	"Calcium Bound Myosin Actin Complex [plasma membrane]"	uniprot:P63267|uniprot:P62736|uniprot:P35749|uniprot:P67936|uniprot:P09493|uniprot:P06753|uniprot:P07951|chebi:29108|uniprot:Q05682|uniprot:P29536|uniprot:P56199|uniprot:P18206|uniprot:Q9BX66|uniprot:O60504|uniprot:Q9Y490|uniprot:P18084|uniprot:P49023|uniprot:P24844|uniprot:P60660|uniprot:Q02045|uniprot:P14649|uniprot:Q9BUA6|uniprot:P19105|uniprot:Q01449|uniprot:O14950|uniprot:Q96A32	R-HSA-445808|R-HSA-445775	3780718|11457814|2526655|1930128
R-HSA-445703	"Inactive Myosin Actin Contractile Complex [plasma membrane]"	uniprot:P63267|uniprot:P62736|uniprot:P35749|uniprot:P67936|uniprot:P09493|uniprot:P06753|uniprot:P07951|uniprot:P29536|uniprot:P56199|uniprot:P18206|uniprot:Q9BX66|uniprot:O60504|uniprot:Q9Y490|uniprot:P18084|uniprot:P49023|uniprot:Q05682|uniprot:P24844|uniprot:P60660|uniprot:Q02045|uniprot:P14649|uniprot:Q9BUA6|uniprot:P19105|uniprot:Q01449|uniprot:O14950|uniprot:Q96A32	R-HSA-445775	19406642
R-HSA-445751	"IL1R1:IL1R2:IL1RN [plasma membrane]"	uniprot:P14778|uniprot:P27930|uniprot:P18510	-	1828071|2139180
R-HSA-445755	"IL1B,Myr82K-Myr83K-IL1A:IL1R1 [plasma membrane]"	uniprot:P01584|uniprot:P01583|uniprot:P14778	-	2946959|8327496
R-HSA-445758	"IL1R1:IL1:IL1RAP [plasma membrane]"	uniprot:Q9NPH3-1|uniprot:P01584|uniprot:P01583|uniprot:P14778	R-HSA-445755	7775431|9371760
R-HSA-445764	"MYLK:Ca2+:CALM1 [cytosol]"	uniprot:P0DP23|chebi:29108|uniprot:Q15746	R-HSA-74294	156362|14627618
R-HSA-445775	"integrin:cytoskeletal ahesion complex [plasma membrane]"	uniprot:P56199|uniprot:P18206|uniprot:Q9BX66|uniprot:O60504|uniprot:Q9Y490|uniprot:P18084|uniprot:P49023	-	10679361|18596210
R-HSA-445789	"ATP Bound Smooth Muscle Myosin Complex [cytosol]"	uniprot:P35749|chebi:30616|uniprot:P24844|uniprot:P60660|uniprot:Q02045|uniprot:P14649|uniprot:Q9BUA6|uniprot:P19105|uniprot:Q01449|uniprot:O14950|uniprot:Q96A32	-	-
R-HSA-445800	"ADP Bound Smooth Muscle Myosin Complex [cytosol]"	uniprot:P35749|chebi:456216|uniprot:P24844|uniprot:P60660|uniprot:Q02045|uniprot:P14649|uniprot:Q9BUA6|uniprot:P19105|uniprot:Q01449|uniprot:O14950|uniprot:Q96A32	-	-
R-HSA-445808	"Caldesmon:Calcium Complex [cytosol]"	chebi:29108|uniprot:Q05682	-	-
R-HSA-445993	"Integrin alpha6:beta4:Plectin:BP180 complex [plasma membrane]"	uniprot:Q15149|uniprot:P23229|uniprot:P16144|uniprot:Q9UMD9	R-HSA-445996|R-HSA-215997	12482924
R-HSA-445996	"Integrin alpha 6:beta 4:Plectin complex [plasma membrane]"	uniprot:Q15149|uniprot:P23229|uniprot:P16144	R-HSA-215997	14668477|9264458|10525545|19242489
R-HSA-445997	"Integrin alpha 6:beta 4:Plectin:BP180:Laminin-322 complex [plasma membrane]"	uniprot:Q16787|uniprot:Q13753|uniprot:Q13751|uniprot:Q15149|uniprot:P23229|uniprot:P16144|uniprot:Q9UMD9	R-HSA-216001|R-HSA-445996|R-HSA-215997	12482924
R-HSA-446010	"BP230:BP180:Plectin:integrin alpha 6 beta 4:Laminin 332 [plasma membrane]"	uniprot:Q03001|uniprot:Q16787|uniprot:Q13753|uniprot:Q13751|uniprot:Q15149|uniprot:P23229|uniprot:P16144|uniprot:Q9UMD9	R-HSA-445997|R-HSA-216001|R-HSA-445996|R-HSA-215997	10637308
R-HSA-446035	"ParvB/Affixin:Alpha-Pix [cytosol]"	uniprot:Q9HBI1|uniprot:Q15052	-	16314921|12499396|15005707
R-HSA-446066	"CD151:BP230:BP180:Plectin:Integrin alpha 6 beta 4: Laminin [plasma membrane]"	uniprot:Q03001|uniprot:Q16787|uniprot:Q13753|uniprot:Q13751|uniprot:Q15149|uniprot:P23229|uniprot:P16144|uniprot:Q9UMD9|uniprot:P48509	R-HSA-446010|R-HSA-445997|R-HSA-216001|R-HSA-445996|R-HSA-215997	10811835
R-HSA-446086	"Type II hemidesmosome [plasma membrane]"	uniprot:P13647|uniprot:P02533|uniprot:Q03001|uniprot:Q16787|uniprot:Q13753|uniprot:Q13751|uniprot:Q15149|uniprot:P23229|uniprot:P16144|uniprot:Q9UMD9|uniprot:P48509	R-HSA-446066|R-HSA-446010|R-HSA-445997|R-HSA-216001|R-HSA-445996|R-HSA-215997	12802069
R-HSA-446125	"IL1B,Myr82K-Myr83K-IL1A:IL1R2 [plasma membrane]"	uniprot:P01584|uniprot:P01583|uniprot:P27930	-	7848516|8327496|1833184|8332913
R-HSA-446302	"Rsu-1:Pinch1 complex [cytosol]"	uniprot:P48059|uniprot:Q15404	-	18436335|15596544
R-HSA-446308	"MIGFILIN:VASP [cytosol]"	uniprot:P50552|uniprot:Q8WUP2	-	16531412
R-HSA-446326	"PARVA:Paxillin [plasma membrane]"	uniprot:Q9NVD7|uniprot:P49023	-	18508764|18940607
R-HSA-446335	"PARVB:alpha actinin [cytosol]"	uniprot:P12814|uniprot:Q9HBI1	-	15159419
R-HSA-446404	"PARVA:TESK1 [cytosol]"	uniprot:Q9NVD7|uniprot:Q15569	-	12027893|15817463|11555644|15584898
R-HSA-446408	"ILK:Integrin beta-1 [plasma membrane]"	uniprot:Q13418|uniprot:P05556	-	8538749
R-HSA-446623	"L1 homodimer [plasma membrane]"	uniprot:P32004	-	-
R-HSA-446637	"IL1R1:IL1:IL1RAP:IRAK4:MYD88 dimer [plasma membrane]"	uniprot:Q9NWZ3|uniprot:Q9NPH3-1|uniprot:P01584|uniprot:P01583|uniprot:P14778|uniprot:Q99836	R-HSA-450120|R-HSA-445758|R-HSA-445755|R-HSA-193932	17507369|12538665
R-HSA-446643	"IL1R1:IL1:IL1RAP:p-T342,T345,S346-IRAK4:MYD88 dimer:TOLLIP [plasma membrane]"	uniprot:Q9H0E2|uniprot:Q9NPH3-1|uniprot:P01584|uniprot:P01583|uniprot:P14778|uniprot:Q99836|uniprot:Q9NWZ3	R-HSA-445758|R-HSA-445755|R-HSA-193932	17141195
R-HSA-446689	"IL1R1:IL1:IL1RAP:p-T342,T345,S346-IRAK4:MYD88 dimer:TOLLIP:p-S376,T378-IRAK1 [plasma membrane]"	uniprot:Q9H0E2|uniprot:Q9NPH3-1|uniprot:P01584|uniprot:P01583|uniprot:P14778|uniprot:Q99836|uniprot:Q9NWZ3|uniprot:P51617	R-HSA-446643|R-HSA-445758|R-HSA-445755|R-HSA-193932	12297423|8599092|11923871|11960013
